;>999999999>strobert,>999999>Toaster,>999999>alestone,>999999>DDrew;96283
0000b2f1f3e2410471e35668a41d2ea366c591e0766a84b27847a78f75d2de4c;miningbonus>1>alestone;d5eb
0000226c288018b5e584f0e08d1a7bf78e9c3d668b4c43041042ba4584aa2b83;miningbonus>1>null;19c98
00001284c37e412e752c365291af0774ceb1a008aabffffa6db55e449ce74125;miningbonus>1>null;b61
0000102abfd71b1d9cc8473573f7e8ff7cbb72c314f962754d549a4b0cf32ead;miningbonus>1>alestone;b5ba
00006e3e31f7990af9cefb28793d5dbdf7f90b2e5d9b6a61be0faccc300d432c;miningbonus>1>null;32eb
00000f3e2ed5e005ede4c00025dc3d9cb707408bd34551bcf39830a8270d5d78;miningbonus>1>null;9a2d
00005baa66676d3c541a72359fff818d109a4da2d4524015a3467a8fc0b15040;miningbonus>1>alestone;6f79
00007847e39e0dc1dae1d8af91e5bea171b4d005bde47efc4bb0b5cba4cfcd56;miningbonus>1>alestone;11b2
00007699890faf0f4da80d7e8bb26162783c037e56c44d67db38177697fe193b;miningbonus>1>null;7766
0000a8323f4f0de3d6ee62c2d9c6a85e3db94e7901b3a4f3e78999f6ae4dda71;miningbonus>1>null;1091b
0000083096b70a7ede08c14f88e2a761013ece27812f92734063184cf2045397;miningbonus>1>alestone;6441
000049b02473fe25e78e7085b524f8c284f154a9a797fa855d4eaaff72d9fc35;miningbonus>1>alestone;2b83
0000ccc70fbb3df73f2c4edf7bd9eb360eacc2df4b2ba96c518db8c32cf529e6;miningbonus>1>null;b8c
0000245ff0e0d40d020f37e2cb717b4dad1edaa68abf433def76884d7444b6dd;miningbonus>1>null;cb47
000018c6e5e9afdc53274d59f201a321c4f0fc969e1946347d894a34ccb460ba;miningbonus>1>alestone;13f90
0000e6da53c634d14b54063579172462a557d3b2ac0e5833d1481536e34f253a;miningbonus>1>alestone;10bb
00009b33d85cdb5ccf742bb02ac0ec7c17e591199691fdae5da8586cb4271a84;miningbonus>1>null;7123
0000fcd4c472748ff72077d6dd4b8aa8e8232e42316f83ad4b5756c15ffe8c56;miningbonus>1>null;14f60
00008a400a6644af6e41cda8e3f5c4f43d8e2295b40a9890cfd41c97013f5da8;miningbonus>1>alestone;a855
0000abf9d5ddaf51ef99573b4c9a193ab6ec2b1c7b81d2ee008a89fcb69b8f6c;miningbonus>1>null;1333d
0000d7bbab539946396b4d541a0bd5837752c80aaf13ac0f5958673d0fcd5eec;miningbonus>1>null;1a57
0000a59e9020293027598721bb2daa23ddf3d6215282afc800b7e5f7b183f6d1;miningbonus>1>null;ce42
000081a3e6e21f78902d89f3c611d1cc29e7ce24243806766e00ac09ebb17788;miningbonus>1>null;4bfa
0000362894297d5d903931bad03138b4068d618f6c7099cb231970266141be94;miningbonus>1>alestone;21e44
0000c33ca03a819649a15bfbe96cd991c787c319ec887758edbbbc8a30fb8c4b;miningbonus>1>alestone;6f2
00001d8d29b70cf8c60c374d153a35885fff184cbcea62f5c13f78fb7873568b;miningbonus>1>null;56dc
00007d5b508fad9b6c47ffa528bd50ab707026fc433397db72db481c1c20cd03;miningbonus>1>null;480a
00000f0daa170a4cb813a07eb2346b01cb90b3e7461e88673f4e2e8894c1db10;miningbonus>1>null;773f
00000388ed5577ab24371830dcd85e94b6ba7779124f2be4e9709d8d1b5097eb;miningbonus>1>null;12c0f
0000b20ffcead20e20ae4654255ad803063f206db05bc9e2199f11b95a005795;miningbonus>1>alestone;25b22
0000edd134a63705a0b87469708cf9816659548f8d2750e86447162cd06eecf4;miningbonus>1>alestone;1e4a2
00009c8183ace2006ca43ff80192d08c209fce154ac69806f4d86f2c411475f7;miningbonus>1>alestone;9e57
000068b2253e93ea3514c8f780ddb5a35db01ee613040e65c9f8d8e42bd2b7fa;miningbonus>1>alestone;1089c
000089a6a989ae4e6a282b618e78ff99c512f2c7ee3fa1d7189e38ada2376cbe;miningbonus>1>null;4f4bd
000080073e401e1aadc2d86cd35834b3f0754829e3ac42bc1403a1024fee4d13;miningbonus>1>null;ce67
0000dcf2d55ab42942a126fbe2660c8cc7f4c9265c00b0227df242f635da2ec7;miningbonus>1>alestone;18352
0000c0f4525fbca1f86faff12be89a6fcb6292c4e63d267612c6b04c72539e27;miningbonus>1>null;3452
0000658695cbd5d11b32da7c7a054baf7d008d025ae9319e3d690038279a6388;miningbonus>1>null;1de1c
